model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,inclusiveGateway,parallelGateway,exclusiveGateway,eventBasedGateway
1976,1.666666667,1.083333333,15,15,1,1,2,0,5,3,0,0,1,0
1977,2.214285714,1.166666667,16,17,2,2,3,3,3,3,0,0,1,0
1978,1,1,3,2,0,0,1,0,2,2,0,0,0,0
1979,1.666666667,1.428571429,12,12,1,1,2,0,2,3,0,0,1,0
1980,1.461538462,1,8,8,1,1,1,0,4,3,0,1,0,0
1981,2.125,1.363636364,19,20,2,2,2,0,4,3,0,0,1,0
1982,1.5,1.333333333,4,3,0,0,1,0,1,3,0,0,0,0
1983,1.111111111,1,3,2,0,0,1,0,2,2,0,0,0,0
1984,1,1,3,2,0,0,1,0,1,2,0,0,0,0
1985,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1986,1.857142857,1.75,8,8,1,1,1,0,2,3,0,1,0,0
1987,2.52173913,1.176470588,26,28,3,3,2,0,4,3,0,1,1,0
1988,1.785714286,1.111111111,12,12,1,1,3,0,4,5,0,1,0,0
1989,1.0625,1,7,7,1,1,1,0,4,2,0,0,1,0
1990,1.576923077,1.111111111,12,12,1,1,2,0,4,2,0,0,1,0
1991,1.944444444,1.111111111,12,12,1,1,2,0,5,4,0,0,1,0
1992,3.208333333,1.090909091,30,32,3,3,4,0,4,3,0,1,1,0
1993,1.461538462,1,8,8,1,1,0,0,2,3,0,0,1,0
1994,2.514285714,1.333333333,24,25,2,2,3,0,6,3,0,0,1,0
1995,2.4,1,10,10,1,1,1,0,2,3,0,1,0,0
1996,1.416666667,1,9,9,1,1,1,0,4,2,0,0,1,0
1997,3.384615385,1.25,31,33,3,3,5,0,7,6,0,1,1,0
1998,2.481481481,1.05,25,26,2,2,4,0,6,3,0,0,1,0
1999,1.571428571,1,16,17,2,2,3,0,7,3,0,1,1,0
2000,1.8,1.2,16,17,2,2,2,0,4,3,0,1,0,0
2001,1,1,2,1,0,0,0,0,0,2,0,0,0,0
2002,1.523809524,1.111111111,12,12,1,1,3,0,2,3,0,1,0,0
2003,1.714285714,1,9,9,1,1,1,0,4,3,0,0,1,0
2004,1.633333333,1.076923077,18,19,2,2,3,0,4,3,0,1,1,0
2005,1,1,3,2,0,0,1,0,3,1,0,0,0,0
2006,1.4,1,2,1,0,0,0,0,0,2,0,0,0,0
2007,1,1,2,1,0,0,0,0,0,2,0,0,0,0
2008,1.4,1,2,1,0,0,0,0,0,2,0,0,0,0
2009,1.578947368,1,10,10,1,1,2,0,5,3,0,0,1,0
2010,2.147058824,1.333333333,26,28,3,3,4,0,6,3,0,1,1,0
2011,1.470588235,1.125,11,11,1,1,2,0,2,2,0,0,1,0
2012,1.090909091,1,8,8,1,1,1,0,1,3,0,1,0,0
2013,1.5,1.2,8,8,1,1,1,0,2,3,1,0,0,0
2014,2.25,1.25,7,7,1,1,1,0,2,2,0,0,1,0
2015,2.555555556,1.222222222,30,33,4,4,4,0,5,3,1,1,0,0
2016,1.458333333,1.142857143,10,10,1,1,1,0,2,3,0,0,1,0
2017,1.8,1,23,25,3,3,3,0,6,3,0,1,1,0
2018,2.666666667,1.333333333,10,10,1,1,1,0,6,3,0,0,1,0
2019,1.380952381,1,11,11,1,1,2,0,4,2,0,0,1,0
2020,1.972972973,1.4375,27,28,2,2,5,0,10,4,0,0,1,0
2021,1.69047619,1.117647059,23,24,2,2,3,0,6,4,1,0,1,0
2022,2.047619048,1.1,13,13,1,1,3,0,3,3,0,0,1,0
2023,2.130434783,1.25,19,20,2,2,2,0,5,2,0,0,1,1
2024,1,1,1,0,0,0,0,0,1,1,0,0,0,0
2025,3.909090909,1.181818182,17,18,2,2,1,0,6,3,0,0,1,0
2026,1.631578947,1,10,10,1,1,1,0,3,6,0,1,0,0
2027,1.793103448,1.071428571,18,20,3,3,2,2,9,4,0,0,1,0
2028,1.25,1,4,3,0,0,1,0,2,2,0,0,0,0
2029,1.2,1,4,3,0,0,1,0,0,3,0,0,0,0
2030,1.5,1,2,1,0,0,0,0,0,2,0,0,0,0
2031,1.125,1,3,2,0,0,1,0,1,3,0,0,0,0
2032,1.121212121,1,12,13,2,1,1,6,4,2,0,1,0,0
2033,3.217391304,1.294117647,28,30,3,3,4,0,11,5,0,1,1,0
2034,1.8,1,10,10,1,1,1,0,3,3,0,0,1,0
2035,1.083333333,1,4,3,0,0,1,0,3,1,0,0,0,0
2036,2.105263158,1.428571429,12,12,1,1,2,0,6,2,0,0,1,0
2037,2.583333333,1.8,11,11,1,1,1,0,5,3,0,0,1,0
2038,3.037037037,1.041666667,33,36,4,4,6,0,5,4,0,1,1,0
2039,2.058823529,1.125,11,11,1,1,2,0,2,3,0,0,1,0
2040,1.775510204,1.05,27,29,3,3,3,0,9,2,0,1,1,0
2041,2.384615385,1,10,10,1,1,1,0,5,2,0,0,1,0
2042,1.533333333,1,9,9,1,1,1,0,3,3,0,1,0,0
2043,2.297297297,1.333333333,26,28,3,3,3,0,4,3,0,1,0,1
2044,2.3125,1.1,28,30,3,3,5,0,6,4,1,0,1,0
2045,1.952380952,1.3,15,16,2,2,2,1,3,3,0,1,0,0
2046,2.476190476,1.133333333,21,22,2,2,4,0,4,3,0,1,1,0
2047,1,1,3,2,0,0,1,0,2,2,0,0,0,0
2048,1.655172414,1.222222222,13,14,1,2,3,3,5,3,0,0,1,0
2049,1.764705882,1,11,11,1,1,2,0,5,3,0,0,1,0
2050,1.709677419,1.083333333,16,16,2,1,2,0,2,3,0,0,1,0
2051,1.5,1,3,2,0,0,1,0,0,2,0,0,0,0
2052,1,1,2,1,0,0,0,0,0,2,0,0,0,0
2053,1.875,1,3,2,0,0,1,0,0,2,0,0,0,0
2054,1,1,1,0,0,0,0,0,1,1,0,0,0,0
2055,1.476190476,1,11,11,1,1,2,0,4,2,0,0,1,0
2056,1.974358974,1.3125,25,26,2,2,4,0,6,6,0,1,0,1
2057,1.8,1.142857143,10,10,1,1,2,0,1,3,0,1,0,0
2058,1.4375,1,7,7,1,1,1,0,2,3,0,1,0,0
2059,1.3,1.2,8,8,1,1,1,0,4,2,0,1,0,0
2060,1.235294118,1,13,13,1,1,2,0,6,3,0,0,1,0
2061,3.125,1.352941176,29,31,3,3,5,0,5,3,0,1,1,0
2062,1.666666667,1.166666667,9,9,1,1,1,0,2,4,0,0,1,0
2063,1.352941176,1.058823529,24,26,3,3,5,0,8,5,0,1,1,0
2064,2.176470588,1,12,12,1,1,2,0,3,3,0,0,1,0
2065,1.4,1,8,8,1,1,1,0,5,2,0,0,1,0
2066,2.931034483,1.4,27,29,3,3,3,0,7,3,0,1,1,0
2067,3.052631579,1.384615385,24,26,3,3,4,0,5,4,0,1,1,0
2068,2.210526316,1,18,19,2,2,3,0,3,4,0,1,1,0
2069,1.771428571,1,19,20,2,2,3,0,8,4,0,1,0,0
