model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,parallelGateway,exclusiveGateway,eventBasedGateway
893,2.6666666666666665,1.064516129032258,41,44,4,4,7,0,0,4,1,1,0
894,2.389830508474576,1.1176470588235294,50,55,6,6,7,0,0,4,1,1,0
895,3.1641791044776117,1.1224489795918366,68,85,10,11,11,0,0,4,1,1,0
896,3.191780821917808,1.2549019607843137,80,91,11,9,13,0,0,4,1,1,0
897,2.357142857142857,1.0930232558139534,57,67,7,8,7,0,0,4,0,1,0
898,2.0,1.0869565217391304,30,32,3,3,4,0,0,4,0,1,0
899,1.9318181818181819,1.0416666666666667,33,36,4,5,5,0,0,4,0,1,0
900,1.5,1.0,2,1,0,0,0,0,0,2,0,0,0
901,1.975,1.0869565217391304,29,30,2,2,5,0,0,3,0,1,0
902,2.574468085106383,1.1290322580645162,43,53,6,7,4,0,0,4,0,1,0
903,2.0943396226415096,1.1379310344827587,41,50,6,7,3,0,0,4,1,1,0
904,2.542372881355932,1.1666666666666667,50,53,4,4,8,0,0,4,0,1,0
905,3.0307692307692307,1.2045454545454546,67,85,15,10,7,0,0,4,1,1,0
906,3.6666666666666665,1.4186046511627908,81,102,12,16,8,0,0,4,1,1,1
907,2.8484848484848486,1.2,62,74,8,11,7,0,0,4,1,1,1
908,2.4878048780487805,1.2,30,32,3,3,5,0,0,4,0,1,0
909,2.2045454545454546,1.0416666666666667,33,36,4,4,4,0,0,4,0,1,0
910,1.25,1.0,2,1,0,0,0,0,0,2,0,0,0
911,1.829268292682927,1.0,26,27,2,2,5,0,0,4,0,1,0
912,1.75,1.2083333333333333,37,40,4,4,5,0,0,4,0,1,0
913,2.306122448979592,1.2413793103448276,44,53,6,7,2,0,0,4,0,1,0
914,2.6595744680851063,1.1818181818181819,51,61,9,7,5,0,0,4,1,1,0
915,3.1346153846153846,1.1219512195121952,56,57,5,5,8,0,0,4,0,1,0
916,2.863013698630137,1.4222222222222223,82,102,15,13,8,0,0,4,1,1,0
917,2.8181818181818183,1.3055555555555556,57,68,7,8,8,0,0,4,0,1,0
918,1.9333333333333333,1.1304347826086956,31,39,4,6,4,0,0,4,1,1,0
919,2.0681818181818183,1.2608695652173914,37,46,7,5,3,0,0,4,1,1,0
920,1.125,1.0,2,1,0,0,0,0,0,2,0,0,0
921,1.837837837837838,1.0,26,28,3,3,3,0,0,3,1,1,0
922,2.183673469387755,1.1851851851851851,40,49,7,6,5,0,0,4,1,1,0
923,2.267857142857143,1.1379310344827587,41,50,5,7,4,0,0,4,1,1,0
924,2.888888888888889,1.1470588235294117,51,68,12,8,2,0,0,4,1,1,0
925,2.8727272727272726,1.1794871794871795,56,60,5,5,7,0,0,4,1,1,0
926,3.2432432432432434,1.2641509433962264,83,103,12,14,6,0,0,4,0,1,0
927,2.8636363636363638,1.173913043478261,66,78,8,9,8,0,0,4,0,1,0
928,1.9574468085106382,1.0740740740740742,35,36,3,3,4,0,0,4,0,1,0
929,1.8076923076923077,1.0,35,38,4,4,5,0,0,4,0,1,1
930,1.25,1.0,2,1,0,0,0,0,0,2,0,0,0
931,1.9743589743589745,1.105263157894737,27,35,4,6,2,0,0,4,1,1,0
932,2.0727272727272728,1.0344827586206897,36,43,4,6,5,0,0,4,1,1,0
933,2.1186440677966103,1.1333333333333333,41,49,4,7,4,0,0,4,1,1,0
934,2.727272727272727,1.2903225806451613,50,60,7,8,5,0,0,4,0,1,0
935,3.3333333333333335,1.2,60,77,8,12,7,0,0,4,1,1,0
936,4.113207547169812,1.4883720930232558,82,90,9,9,15,0,0,4,1,1,0
937,2.8771929824561404,1.3157894736842106,60,68,8,6,8,0,0,4,1,1,0
938,2.2083333333333335,1.16,36,44,7,4,4,0,0,4,1,1,0
939,2.6666666666666665,1.2,36,44,6,4,4,0,0,4,1,1,0
940,1.0,1.0,3,2,0,0,1,0,0,3,0,0,0
941,1.7446808510638299,1.0454545454545454,28,35,3,6,3,0,0,4,1,1,0
942,2.119047619047619,1.0357142857142858,37,40,4,4,5,0,0,4,0,1,0
943,2.440677966101695,1.1612903225806452,43,52,5,7,6,0,0,4,1,1,0
944,2.4339622641509435,1.0810810810810811,52,57,6,6,9,0,0,4,1,1,0
945,2.4754098360655736,1.1891891891891893,56,67,9,7,7,0,0,4,1,1,0
946,4.311475409836065,1.425531914893617,85,93,9,9,11,0,0,4,1,1,1
947,2.7288135593220337,1.3142857142857143,58,63,6,6,8,0,0,4,0,1,1
948,2.8974358974358974,1.16,35,49,7,8,2,0,0,4,1,0,0
949,1.962962962962963,1.0769230769230769,36,38,4,4,6,0,0,4,1,1,0
950,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
951,2.1219512195121952,1.0434782608695652,28,29,3,3,2,0,0,4,0,1,0
952,2.3389830508474576,1.3076923076923077,42,45,4,4,8,0,0,4,0,1,0
953,2.169811320754717,1.2222222222222223,41,44,4,4,6,0,0,4,0,1,0
954,2.5535714285714284,1.2,51,67,9,9,5,0,0,4,1,0,1
955,2.696969696969697,1.2432432432432432,58,69,8,9,5,0,0,4,1,1,0
956,3.4285714285714284,1.1929824561403508,84,110,14,15,7,0,0,4,1,1,0
957,2.611940298507463,1.1951219512195121,61,72,9,7,8,0,0,4,1,1,1
958,2.1052631578947367,1.0909090909090908,30,32,4,4,4,0,0,4,0,1,0
959,2.0,1.0769230769230769,33,41,6,4,4,0,0,4,1,1,0
960,1.1111111111111112,1.0,2,1,0,0,0,0,0,2,0,0,0
961,1.7659574468085106,1.0,26,27,2,2,4,0,0,4,0,1,0
962,2.4186046511627906,1.1851851851851851,40,49,7,5,5,0,0,4,1,1,0
963,2.1914893617021276,1.2692307692307692,41,44,4,4,7,0,0,4,1,1,0
964,2.8867924528301887,1.28125,51,55,5,5,8,0,0,4,0,1,0
965,2.967741935483871,1.25,60,76,10,9,4,0,0,4,1,1,0
966,2.5842696629213484,1.2452830188679245,84,87,9,9,12,0,0,4,1,1,0
967,2.4782608695652173,1.1590909090909092,67,80,12,11,8,0,0,4,1,1,0
968,2.372093023255814,1.0869565217391304,31,39,5,6,0,0,0,4,0,1,0
969,2.0697674418604652,1.1304347826086956,33,42,7,5,1,0,0,4,1,1,0
970,1.1111111111111112,1.0,3,2,0,0,1,0,0,3,0,0,0
971,2.4473684210526314,1.0952380952380953,28,36,5,6,0,0,0,4,0,1,0
972,2.34,1.1935483870967742,43,57,7,8,3,0,0,4,1,0,0
973,2.6491228070175437,1.1666666666666667,43,46,5,5,7,0,0,4,0,1,0
974,2.457627118644068,1.2162162162162162,57,62,7,7,8,0,0,4,1,1,0
975,3.510204081632653,1.3142857142857143,60,66,7,7,10,0,0,4,0,1,0
